column_name,key,value
age,mean,48.583941605839506
bmi,mean,30.25507299270073
avg_glucose_level,mean,108.27393430656934
gender,Female,1678
gender,Male,1062
residence_type,Rural,1334
residence_type,Urban,1406
smoking_status,Formerly,658
smoking_status,Never,1483
smoking_status,Smokes,599
stroke,No,2595
stroke,Yes,145
hypertension,No,2423
hypertension,Yes,317
heart_disease,No,2572
heart_disease,Yes,168
work_type,Government,410
work_type,Never Worked,10
work_type,Private,1757
work_type,Self-employed,509
work_type,children,54
ever_married,No,668
ever_married,Yes,2072
